2024-11-13 22:37:34.8610 | __init__:35 | ERROR | 获取本机所有 IP 地址失败: module 'psutil' has no attribute 'AF_INET'
2024-11-13 22:37:34.8680 | __init__:57 | INFO | 当前环境的所有IP地址: []
2024-11-13 22:37:34.8680 | __init__:62 | ERROR | 环境缺少必要的IP地址: ['192.168.1.10', '192.168.1.11', '192.168.1.12', '192.168.1.13']
2024-11-13 22:37:34.8680 | run:20 | ERROR | 应用初始化失败: 应用初始化失败，create_app() 返回 None
2024-11-13 22:41:04.9488 | __init__:58 | INFO | 当前环境的所有IP地址: ['169.254.234.171', '169.254.21.187', '169.254.186.40', '192.168.1.8', '169.254.214.178', '127.0.0.1']
2024-11-13 22:41:04.9488 | __init__:63 | ERROR | 环境缺少必要的IP地址: ['192.168.1.10', '192.168.1.11', '192.168.1.12', '192.168.1.13']
2024-11-13 22:41:04.9488 | run:20 | ERROR | 应用初始化失败: 应用初始化失败，create_app() 返回 None
2024-11-13 22:42:03.3248 | __init__:58 | INFO | 当前环境的所有IP地址: ['169.254.234.171', '169.254.21.187', '169.254.186.40', '192.168.1.8', '169.254.214.178', '127.0.0.1']
2024-11-13 22:42:03.3258 | __init__:63 | ERROR | 环境缺少必要的IP地址: ['192.168.1.10', '192.168.1.11', '192.168.1.12', '192.168.1.13']
2024-11-13 22:42:03.3258 | run:20 | ERROR | 应用初始化失败: create_app方法返回None
2024-11-13 22:42:29.6793 | __init__:58 | INFO | 当前环境的所有IP地址: ['169.254.234.171', '169.254.21.187', '169.254.186.40', '192.168.1.8', '169.254.214.178', '127.0.0.1']
2024-11-13 22:42:50.7272 | tcp_connection:43 | ERROR | 连接失败，错误信息: [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。
2024-11-13 22:42:50.7272 | tcp_connection:96 | INFO | TCP连接断开
2024-11-13 22:42:50.7282 | device_manager:34 | INFO | 通道相机设备初始化成功并已连接
2024-11-13 22:42:50.7282 | __init__:69 | INFO | 所有设备初始化成功
2024-11-13 22:45:30.9544 | __init__:58 | INFO | 当前环境的所有IP地址: ['169.254.234.171', '169.254.21.187', '169.254.186.40', '192.168.1.8', '169.254.214.178', '127.0.0.1']
2024-11-13 22:45:51.9908 | tcp_connection:43 | ERROR | 连接失败，错误信息: [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。
2024-11-13 22:45:51.9908 | tcp_connection:96 | INFO | TCP连接断开
2024-11-13 22:45:51.9919 | channel_camera_service:36 | ERROR | 连接服务器失败: [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。
2024-11-13 22:45:51.9919 | device_manager:34 | INFO | 通道相机设备初始化成功并已连接
2024-11-13 22:45:51.9919 | __init__:69 | INFO | 所有设备初始化成功
2024-11-13 22:54:10.7999 | __init__:58 | INFO | 当前环境的所有IP地址: ['169.254.234.171', '169.254.21.187', '169.254.186.40', '192.168.1.8', '169.254.214.178', '127.0.0.1']
2024-11-13 22:54:31.8563 | tcp_connection:43 | ERROR | 连接失败，错误信息: [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。
2024-11-13 22:54:31.8573 | tcp_connection:96 | INFO | TCP连接断开
2024-11-13 22:54:31.8573 | channel_camera_service:36 | ERROR | 连接服务器失败: [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。
2024-11-13 22:54:31.8583 | device_manager:36 | ERROR | 通道相机设备初始化失败: [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。
2024-11-13 22:54:31.8603 | __init__:71 | ERROR | 设备初始化失败: [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。
2024-11-13 22:54:31.8613 | run:20 | ERROR | 应用初始化失败: [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。
2024-11-13 22:55:24.9241 | __init__:58 | INFO | 当前环境的所有IP地址: ['169.254.234.171', '169.254.21.187', '169.254.186.40', '192.168.1.8', '169.254.214.178', '127.0.0.1']
2024-11-13 22:55:24.9241 | __init__:63 | ERROR | 环境缺少必要的IP地址: ['192.168.1.85']
2024-11-13 22:55:24.9241 | run:20 | ERROR | 应用初始化失败: 环境缺少必要的IP地址
